Date,severity_1_actual,severity_1_forecast,severity_2_actual,severity_2_forecast,severity_3_actual,severity_3_forecast,severity_4_actual,severity_4_forecast
2016-01-14,0.0,0.0,0.0,2.0,0.0,2.0,7.0,6.0
2016-02-08,0.0,0.0,42.0,40.0,17.0,16.0,1.0,5.0
2016-02-09,0.0,0.0,33.0,34.0,20.0,19.0,6.0,7.0
2016-02-10,0.0,0.0,30.0,33.0,13.0,13.0,6.0,6.0
2016-02-11,0.0,0.0,66.0,53.0,21.0,19.0,6.0,6.0
2016-02-12,0.0,0.0,6.0,14.0,5.0,8.0,7.0,7.0
2016-02-13,0.0,0.0,1.0,11.0,9.0,9.0,4.0,5.0
2016-02-14,0.0,0.0,0.0,1.0,7.0,6.0,6.0,5.0
2016-02-15,1.0,1.0,31.0,34.0,13.0,14.0,17.0,13.0
2016-02-16,0.0,0.0,53.0,46.0,20.0,19.0,11.0,11.0
2016-02-17,0.0,0.0,33.0,33.0,13.0,13.0,5.0,6.0
2016-02-18,0.0,0.0,45.0,40.0,25.0,21.0,3.0,4.0
2016-02-19,0.0,0.0,53.0,43.0,10.0,9.0,9.0,7.0
2016-02-20,0.0,33.0,1.0,13.0,0.0,4.0,3.0,5.0
2016-02-21,0.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0
2016-02-22,0.0,0.0,35.0,36.0,10.0,13.0,10.0,8.0
2016-02-23,0.0,0.0,28.0,30.0,21.0,18.0,9.0,8.0
2016-02-24,1.0,1.0,50.0,47.0,26.0,23.0,9.0,9.0
2016-02-25,0.0,0.0,26.0,31.0,11.0,13.0,14.0,11.0
2016-02-26,0.0,0.0,17.0,22.0,6.0,8.0,4.0,4.0
2016-02-27,0.0,0.0,1.0,1.0,5.0,4.0,0.0,1.0
2016-02-28,0.0,0.0,4.0,3.0,0.0,2.0,3.0,3.0
2016-02-29,0.0,0.0,26.0,29.0,8.0,9.0,2.0,3.0
2016-03-01,0.0,0.0,40.0,37.0,15.0,14.0,0.0,2.0
2016-03-02,0.0,0.0,22.0,25.0,12.0,11.0,6.0,6.0
2016-03-03,0.0,0.0,38.0,32.0,20.0,16.0,6.0,6.0
2016-03-04,0.0,0.0,33.0,32.0,15.0,14.0,10.0,8.0
2016-03-05,0.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0
2016-03-06,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0
2016-03-07,0.0,1.0,29.0,33.0,8.0,8.0,4.0,4.0
2016-03-08,0.0,0.0,37.0,36.0,10.0,9.0,4.0,5.0
2016-03-09,0.0,0.0,27.0,29.0,9.0,9.0,6.0,6.0
2016-03-10,0.0,0.0,40.0,40.0,20.0,18.0,12.0,10.0
2016-03-11,0.0,0.0,45.0,35.0,10.0,10.0,6.0,6.0
2016-03-12,0.0,0.0,1.0,9.0,6.0,8.0,3.0,4.0
2016-03-13,0.0,0.0,0.0,1.0,4.0,4.0,5.0,5.0
2016-03-14,0.0,0.0,38.0,36.0,6.0,9.0,1.0,3.0
2016-03-15,0.0,0.0,28.0,30.0,10.0,11.0,8.0,7.0
2016-03-16,0.0,0.0,27.0,28.0,10.0,10.0,7.0,6.0
2016-03-17,0.0,0.0,39.0,39.0,7.0,8.0,7.0,6.0
2016-03-18,0.0,0.0,44.0,38.0,5.0,6.0,4.0,5.0
2016-03-19,0.0,0.0,5.0,10.0,4.0,7.0,2.0,3.0
2016-03-20,0.0,0.0,1.0,8.0,1.0,3.0,5.0,5.0
2016-03-21,0.0,0.0,31.0,31.0,14.0,14.0,4.0,5.0
2016-03-22,0.0,0.0,51.0,42.0,26.0,21.0,5.0,5.0
2016-03-23,0.0,0.0,440.0,465.0,246.0,254.0,18.0,25.0
2016-03-24,0.0,0.0,492.0,484.0,284.0,270.0,47.0,38.0
2016-03-25,0.0,0.0,320.0,368.0,167.0,184.0,17.0,21.0
2016-03-26,2.0,1.0,88.0,110.0,140.0,122.0,21.0,21.0
2016-03-27,0.0,0.0,148.0,144.0,100.0,110.0,15.0,21.0
2016-03-28,0.0,0.0,387.0,418.0,232.0,228.0,33.0,29.0
2016-03-29,0.0,0.0,487.0,480.0,211.0,215.0,25.0,25.0
2016-03-30,0.0,0.0,513.0,500.0,280.0,276.0,35.0,31.0
2016-03-31,0.0,0.0,460.0,477.0,202.0,209.0,16.0,19.0
2016-04-01,0.0,0.0,558.0,546.0,292.0,283.0,28.0,27.0
2016-04-02,0.0,0.0,117.0,130.0,121.0,131.0,22.0,20.0
2016-04-03,0.0,0.0,145.0,138.0,117.0,119.0,16.0,17.0
2016-04-04,1.0,1.0,478.0,462.0,240.0,227.0,20.0,20.0
2016-04-05,0.0,0.0,599.0,572.0,272.0,267.0,18.0,19.0
2016-04-06,0.0,0.0,538.0,537.0,269.0,269.0,24.0,22.0
2016-04-07,0.0,0.0,622.0,594.0,309.0,296.0,45.0,36.0
2016-04-08,0.0,0.0,401.0,454.0,179.0,200.0,26.0,27.0
2016-04-09,0.0,0.0,185.0,188.0,152.0,154.0,27.0,27.0
2016-04-10,0.0,0.0,163.0,165.0,123.0,128.0,19.0,21.0
2016-04-11,2.0,1.0,479.0,509.0,282.0,263.0,17.0,20.0
2016-04-12,0.0,0.0,524.0,541.0,248.0,258.0,19.0,21.0
2016-04-13,0.0,0.0,529.0,518.0,224.0,230.0,13.0,17.0
2016-04-14,0.0,0.0,541.0,523.0,255.0,248.0,24.0,22.0
2016-04-15,0.0,0.0,16.0,16.0,11.0,11.0,1.0,2.0
2016-04-17,1.0,1.0,114.0,144.0,90.0,96.0,8.0,12.0
2016-04-18,0.0,0.0,545.0,531.0,305.0,293.0,31.0,27.0
2016-04-19,0.0,0.0,533.0,528.0,236.0,242.0,17.0,19.0
2016-04-20,0.0,0.0,526.0,526.0,288.0,262.0,20.0,20.0
2016-04-21,1.0,1.0,592.0,569.0,246.0,259.0,22.0,22.0
2016-04-22,0.0,0.0,618.0,577.0,291.0,283.0,18.0,20.0
2016-04-23,0.0,0.0,8.0,12.0,9.0,9.0,0.0,3.0
2016-04-24,0.0,0.0,106.0,132.0,40.0,66.0,13.0,11.0
2016-04-25,0.0,0.0,528.0,517.0,252.0,249.0,17.0,19.0
2016-04-26,0.0,0.0,517.0,518.0,280.0,274.0,20.0,19.0
2016-04-27,0.0,0.0,527.0,509.0,217.0,217.0,18.0,19.0
2016-04-28,0.0,0.0,466.0,492.0,252.0,261.0,14.0,17.0
2016-04-29,0.0,0.0,532.0,522.0,275.0,272.0,28.0,26.0
2016-04-30,0.0,0.0,61.0,91.0,78.0,99.0,17.0,18.0
2016-05-01,0.0,0.0,24.0,22.0,22.0,21.0,10.0,8.0
2016-05-02,3.0,2.0,388.0,403.0,262.0,246.0,23.0,23.0
2016-05-03,0.0,0.0,384.0,415.0,207.0,208.0,22.0,23.0
2016-05-04,0.0,0.0,479.0,467.0,204.0,205.0,29.0,27.0
2016-05-05,0.0,0.0,467.0,466.0,211.0,212.0,34.0,31.0
2016-05-06,0.0,22.0,18.0,19.0,15.0,15.0,2.0,4.0
2016-05-08,0.0,0.0,21.0,21.0,16.0,18.0,1.0,3.0
2016-05-09,0.0,0.0,397.0,401.0,206.0,207.0,19.0,20.0
2016-05-10,0.0,0.0,504.0,481.0,219.0,215.0,39.0,33.0
2016-05-11,1.0,1.0,494.0,471.0,231.0,225.0,24.0,23.0
2016-05-12,0.0,0.0,535.0,506.0,236.0,229.0,25.0,23.0
2016-05-13,0.0,0.0,9.0,15.0,10.0,13.0,6.0,5.0
2016-05-16,0.0,0.0,389.0,401.0,170.0,190.0,13.0,16.0
2016-05-17,0.0,0.0,487.0,496.0,209.0,217.0,22.0,23.0
2016-05-18,0.0,0.0,681.0,634.0,252.0,261.0,31.0,29.0
2016-05-19,0.0,0.0,511.0,515.0,230.0,242.0,27.0,25.0
2016-05-20,0.0,0.0,690.0,637.0,298.0,292.0,18.0,20.0
2016-05-21,1.0,1.0,202.0,191.0,154.0,151.0,10.0,14.0
2016-05-22,0.0,0.0,212.0,281.0,134.0,158.0,16.0,18.0
2016-05-23,0.0,0.0,543.0,549.0,238.0,252.0,34.0,30.0
2016-05-24,0.0,0.0,739.0,685.0,259.0,262.0,20.0,23.0
2016-05-25,0.0,0.0,743.0,724.0,262.0,273.0,38.0,33.0
2016-05-26,0.0,0.0,749.0,713.0,324.0,303.0,24.0,25.0
2016-05-27,1.0,1.0,712.0,698.0,306.0,301.0,29.0,27.0
2016-05-28,2.0,1.0,175.0,259.0,175.0,190.0,15.0,19.0
2016-05-29,0.0,0.0,177.0,177.0,112.0,130.0,16.0,17.0
2016-05-30,0.0,0.0,312.0,345.0,165.0,194.0,24.0,22.0
2016-05-31,0.0,0.0,555.0,592.0,285.0,283.0,22.0,24.0
2016-06-01,1.0,1.0,539.0,547.0,289.0,287.0,25.0,22.0
2016-06-02,0.0,0.0,473.0,489.0,245.0,258.0,8.0,13.0
2016-06-03,0.0,0.0,521.0,503.0,273.0,272.0,20.0,22.0
2016-06-04,0.0,0.0,160.0,166.0,135.0,138.0,33.0,27.0
2016-06-05,0.0,0.0,168.0,164.0,106.0,116.0,17.0,19.0
2016-06-06,0.0,0.0,485.0,487.0,310.0,290.0,37.0,31.0
2016-06-07,1.0,1.0,558.0,543.0,265.0,271.0,17.0,19.0
2016-06-08,3.0,2.0,549.0,532.0,276.0,274.0,25.0,23.0
2016-06-09,0.0,0.0,470.0,495.0,319.0,304.0,10.0,14.0
2016-06-10,0.0,0.0,424.0,460.0,287.0,281.0,16.0,18.0
2016-06-11,0.0,0.0,191.0,169.0,107.0,115.0,24.0,21.0
2016-06-12,0.0,0.0,159.0,163.0,145.0,138.0,17.0,18.0
2016-06-13,0.0,0.0,439.0,478.0,284.0,280.0,29.0,28.0
2016-06-14,1.0,1.0,445.0,474.0,291.0,287.0,18.0,20.0
2016-06-15,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0
2016-06-16,0.0,0.0,425.0,422.0,223.0,210.0,16.0,17.0
2016-06-17,1.0,1.0,518.0,571.0,295.0,274.0,34.0,29.0
2016-06-18,0.0,0.0,129.0,123.0,142.0,124.0,14.0,16.0
2016-06-19,0.0,0.0,130.0,129.0,85.0,97.0,14.0,15.0
2016-06-20,1.0,1.0,355.0,403.0,193.0,207.0,19.0,21.0
2016-06-21,4.0,3.0,1136.0,1130.0,490.0,529.0,58.0,52.0
2016-06-22,2.0,2.0,1580.0,1543.0,624.0,625.0,80.0,77.0
2016-06-23,1.0,1.0,1621.0,1596.0,751.0,742.0,70.0,72.0
2016-06-24,1.0,1.0,1413.0,1427.0,757.0,734.0,87.0,82.0
2016-06-25,1.0,1.0,231.0,239.0,283.0,286.0,52.0,52.0
2016-06-26,0.0,0.0,309.0,344.0,274.0,280.0,55.0,52.0
2016-06-27,1.0,1.0,1516.0,1493.0,690.0,680.0,76.0,74.0
2016-06-28,0.0,0.0,1487.0,1551.0,579.0,619.0,76.0,75.0
2016-06-29,0.0,0.0,1527.0,1529.0,622.0,641.0,49.0,56.0
2016-06-30,0.0,0.0,1431.0,1472.0,706.0,697.0,88.0,84.0
2016-07-01,0.0,2.0,743.0,829.0,357.0,368.0,46.0,53.0
2016-07-02,1.0,1.0,226.0,255.0,174.0,193.0,25.0,33.0
2016-07-03,0.0,0.0,251.0,265.0,177.0,203.0,31.0,34.0
2016-07-04,1.0,1.0,743.0,870.0,381.0,372.0,44.0,50.0
2016-07-05,1.0,1.0,1404.0,1432.0,734.0,702.0,75.0,76.0
2016-07-06,0.0,0.0,1507.0,1472.0,589.0,601.0,52.0,57.0
2016-07-07,1.0,1.0,1384.0,1385.0,615.0,615.0,81.0,77.0
2016-07-08,0.0,0.0,1360.0,1400.0,590.0,602.0,62.0,62.0
2016-07-09,0.0,0.0,216.0,253.0,193.0,221.0,68.0,59.0
2016-07-10,0.0,0.0,246.0,258.0,215.0,235.0,25.0,32.0
2016-07-11,2.0,4.0,1331.0,1337.0,555.0,550.0,61.0,73.0
2016-07-12,0.0,0.0,1228.0,1265.0,561.0,560.0,54.0,57.0
2016-07-13,0.0,1.0,1238.0,1251.0,571.0,581.0,55.0,60.0
2016-07-14,0.0,1.0,1414.0,1396.0,648.0,617.0,70.0,70.0
2016-07-15,1.0,1.0,1000.0,1102.0,639.0,637.0,28.0,46.0
2016-07-16,0.0,0.0,306.0,303.0,197.0,214.0,29.0,37.0
2016-07-17,0.0,0.0,18.0,22.0,26.0,31.0,14.0,20.0
2016-07-18,0.0,1.0,1034.0,1131.0,423.0,467.0,56.0,56.0
2016-07-19,0.0,0.0,1371.0,1359.0,545.0,548.0,59.0,61.0
2016-07-20,1.0,1.0,1342.0,1375.0,538.0,570.0,55.0,62.0
2016-07-21,0.0,0.0,1355.0,1374.0,602.0,596.0,62.0,63.0
2016-07-22,0.0,1.0,1503.0,1492.0,667.0,672.0,86.0,80.0
2016-07-23,0.0,0.0,323.0,313.0,251.0,259.0,42.0,45.0
2016-07-24,0.0,0.0,290.0,281.0,237.0,239.0,41.0,40.0
2016-07-25,2.0,2.0,1383.0,1396.0,590.0,589.0,68.0,69.0
2016-07-26,2.0,2.0,1546.0,1505.0,602.0,612.0,73.0,71.0
2016-07-27,2.0,2.0,1563.0,1518.0,631.0,630.0,60.0,62.0
2016-07-28,0.0,0.0,1465.0,1479.0,649.0,645.0,58.0,63.0
2016-07-29,1.0,1.0,1453.0,1438.0,689.0,669.0,73.0,71.0
2016-07-30,1.0,1.0,324.0,327.0,290.0,319.0,69.0,62.0
2016-07-31,2.0,2.0,301.0,307.0,290.0,294.0,46.0,46.0
2016-08-01,2.0,2.0,1519.0,1536.0,626.0,633.0,79.0,77.0
2016-08-02,0.0,9.0,1574.0,1559.0,597.0,617.0,94.0,86.0
2016-08-03,2.0,1.0,902.0,990.0,333.0,436.0,53.0,56.0
2016-08-04,1.0,1.0,1224.0,1108.0,506.0,529.0,61.0,60.0
2016-08-05,0.0,0.0,1735.0,1637.0,709.0,679.0,66.0,67.0
2016-08-06,2.0,1.0,309.0,318.0,267.0,259.0,46.0,44.0
2016-08-07,0.0,0.0,278.0,279.0,238.0,245.0,44.0,45.0
2016-08-08,1.0,1.0,1519.0,1506.0,695.0,677.0,99.0,88.0
2016-08-09,1.0,9.0,1604.0,1553.0,580.0,604.0,55.0,60.0
2016-08-10,0.0,0.0,1580.0,1580.0,745.0,718.0,58.0,62.0
2016-08-11,3.0,3.0,1482.0,1515.0,780.0,744.0,61.0,63.0
2016-08-12,1.0,3.0,1589.0,1610.0,810.0,774.0,61.0,63.0
2016-08-13,2.0,2.0,356.0,344.0,274.0,282.0,65.0,59.0
2016-08-14,0.0,1.0,352.0,332.0,240.0,256.0,50.0,49.0
2016-08-15,0.0,1.0,1545.0,1562.0,725.0,710.0,60.0,64.0
2016-08-16,3.0,2.0,1529.0,1542.0,643.0,651.0,60.0,62.0
2016-08-17,2.0,2.0,1526.0,1536.0,667.0,672.0,68.0,69.0
2016-08-18,0.0,1.0,1475.0,1504.0,644.0,653.0,83.0,78.0
2016-08-19,2.0,2.0,1486.0,1488.0,628.0,639.0,54.0,62.0
2016-08-20,0.0,0.0,334.0,319.0,296.0,290.0,46.0,47.0
2016-08-21,0.0,0.0,288.0,372.0,308.0,297.0,48.0,48.0
2016-08-22,1.0,1.0,1475.0,1458.0,587.0,595.0,79.0,74.0
2016-08-23,0.0,0.0,1557.0,1536.0,621.0,622.0,65.0,68.0
2016-08-24,3.0,2.0,1607.0,1583.0,634.0,637.0,74.0,74.0
2016-08-25,0.0,0.0,1365.0,1431.0,652.0,652.0,62.0,67.0
2016-08-26,3.0,2.0,1575.0,1570.0,680.0,671.0,73.0,73.0
2016-08-27,2.0,2.0,355.0,433.0,308.0,366.0,38.0,44.0
2016-08-28,2.0,2.0,326.0,338.0,298.0,294.0,61.0,55.0
2016-08-29,2.0,2.0,1593.0,1588.0,714.0,692.0,60.0,66.0
2016-08-30,2.0,2.0,1601.0,1577.0,681.0,625.0,71.0,71.0
2016-08-31,0.0,11.0,1671.0,1628.0,635.0,644.0,74.0,83.0
2016-09-01,1.0,1.0,1859.0,1770.0,697.0,701.0,79.0,76.0
2016-09-02,1.0,1.0,1513.0,1558.0,704.0,706.0,68.0,69.0
2016-09-03,0.0,0.0,311.0,322.0,299.0,304.0,43.0,45.0
2016-09-04,0.0,0.0,277.0,287.0,246.0,248.0,30.0,36.0
2016-09-05,1.0,1.0,818.0,886.0,428.0,483.0,61.0,60.0
2016-09-06,0.0,1.0,1895.0,1857.0,763.0,750.0,97.0,88.0
2016-09-07,3.0,2.0,1786.0,1787.0,748.0,743.0,64.0,68.0
2016-09-08,3.0,2.0,1834.0,1824.0,720.0,721.0,92.0,85.0
2016-09-09,0.0,1.0,1805.0,1822.0,716.0,724.0,67.0,71.0
2016-09-10,0.0,0.0,387.0,523.0,285.0,299.0,54.0,55.0
2016-09-11,1.0,1.0,350.0,352.0,238.0,256.0,51.0,49.0
2016-09-12,1.0,1.0,1666.0,1695.0,686.0,688.0,76.0,76.0
2016-09-13,3.0,2.0,1728.0,1725.0,714.0,708.0,64.0,67.0
2016-09-14,2.0,2.0,1730.0,1721.0,715.0,709.0,92.0,86.0
2016-09-15,0.0,31.0,1758.0,1744.0,769.0,755.0,73.0,76.0
2016-09-16,2.0,2.0,1249.0,1214.0,634.0,654.0,31.0,39.0
2016-09-17,0.0,0.0,338.0,355.0,268.0,288.0,9.0,18.0
2016-09-18,0.0,0.0,255.0,270.0,242.0,253.0,0.0,19.0
2016-09-19,2.0,7.0,1104.0,1171.0,614.0,594.0,1.0,19.0
2016-09-20,0.0,8.0,1049.0,1066.0,532.0,562.0,2.0,12.0
2016-09-21,0.0,0.0,1005.0,875.0,500.0,516.0,1.0,20.0
2016-09-22,0.0,0.0,985.0,988.0,538.0,543.0,21.0,30.0
2016-09-23,0.0,11.0,1599.0,1536.0,685.0,662.0,96.0,94.0
2016-09-24,0.0,0.0,300.0,334.0,279.0,303.0,45.0,45.0
2016-09-25,0.0,0.0,275.0,278.0,213.0,235.0,51.0,49.0
2016-09-26,1.0,1.0,1530.0,1454.0,668.0,633.0,71.0,71.0
2016-09-27,2.0,2.0,1734.0,1659.0,741.0,723.0,79.0,79.0
2016-09-28,1.0,1.0,1683.0,1649.0,722.0,719.0,91.0,85.0
2016-09-29,1.0,1.0,1619.0,1654.0,738.0,723.0,67.0,71.0
2016-09-30,3.0,3.0,1712.0,1723.0,753.0,744.0,85.0,83.0
2016-10-01,1.0,1.0,309.0,324.0,328.0,325.0,52.0,51.0
2016-10-02,1.0,1.0,301.0,302.0,256.0,268.0,52.0,47.0
2016-10-03,5.0,4.0,1775.0,1727.0,601.0,635.0,69.0,69.0
2016-10-04,2.0,2.0,2013.0,1926.0,707.0,720.0,93.0,85.0
2016-10-05,2.0,2.0,1775.0,1780.0,774.0,776.0,75.0,76.0
2016-10-06,3.0,2.0,1208.0,1229.0,504.0,587.0,54.0,58.0
2016-10-07,2.0,2.0,1732.0,1566.0,738.0,725.0,74.0,65.0
2016-10-08,1.0,1.0,334.0,330.0,331.0,322.0,31.0,37.0
2016-10-09,0.0,0.0,38.0,44.0,35.0,38.0,22.0,22.0
2016-10-10,3.0,2.0,1006.0,946.0,343.0,410.0,29.0,34.0
2016-10-11,1.0,1.0,1902.0,1879.0,726.0,731.0,72.0,75.0
2016-10-12,2.0,2.0,1686.0,1708.0,620.0,654.0,58.0,65.0
2016-10-13,5.0,4.0,1826.0,1781.0,695.0,702.0,64.0,65.0
2016-10-14,1.0,2.0,2038.0,1939.0,739.0,743.0,88.0,81.0
2016-10-15,0.0,0.0,415.0,407.0,313.0,312.0,49.0,48.0
2016-10-16,0.0,0.0,423.0,398.0,360.0,343.0,35.0,40.0
2016-10-17,1.0,1.0,1851.0,1844.0,797.0,777.0,51.0,60.0
2016-10-18,2.0,2.0,1740.0,1753.0,673.0,698.0,65.0,67.0
2016-10-19,0.0,0.0,1862.0,1825.0,792.0,782.0,64.0,70.0
2016-10-20,0.0,1.0,1649.0,1691.0,801.0,774.0,72.0,72.0
2016-10-21,3.0,3.0,1680.0,1517.0,808.0,779.0,84.0,83.0
2016-10-22,0.0,0.0,393.0,367.0,338.0,326.0,74.0,62.0
2016-10-23,2.0,2.0,364.0,453.0,297.0,317.0,37.0,42.0
2016-10-24,1.0,1.0,1645.0,1684.0,681.0,708.0,80.0,78.0
2016-10-25,0.0,0.0,1706.0,1745.0,737.0,735.0,68.0,71.0
2016-10-26,2.0,2.0,1843.0,1802.0,751.0,747.0,72.0,73.0
2016-10-27,2.0,2.0,1578.0,1537.0,704.0,707.0,54.0,61.0
2016-10-28,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0
2016-10-29,0.0,0.0,91.0,101.0,57.0,83.0,22.0,29.0
2016-10-30,0.0,0.0,395.0,361.0,301.0,282.0,44.0,42.0
2016-10-31,4.0,3.0,1738.0,1756.0,724.0,728.0,69.0,73.0
2016-11-01,2.0,2.0,1879.0,1856.0,769.0,767.0,78.0,79.0
2016-11-02,2.0,2.0,1744.0,1705.0,794.0,791.0,94.0,86.0
2016-11-03,0.0,1.0,1835.0,1854.0,881.0,843.0,78.0,79.0
2016-11-04,3.0,3.0,1828.0,1821.0,854.0,822.0,99.0,92.0
2016-11-05,0.0,0.0,333.0,448.0,337.0,333.0,45.0,47.0
2016-11-06,1.0,1.0,393.0,412.0,266.0,306.0,37.0,41.0
2016-11-07,2.0,2.0,1873.0,1848.0,827.0,809.0,94.0,87.0
2016-11-08,2.0,2.0,1986.0,1937.0,777.0,783.0,82.0,81.0
2016-11-09,2.0,2.0,1772.0,1789.0,727.0,748.0,60.0,67.0
2016-11-10,3.0,3.0,1801.0,1821.0,835.0,825.0,87.0,86.0
2016-11-11,0.0,1.0,1642.0,1698.0,683.0,705.0,77.0,77.0
2016-11-12,0.0,0.0,349.0,359.0,276.0,296.0,54.0,55.0
2016-11-13,0.0,0.0,422.0,397.0,235.0,268.0,77.0,65.0
2016-11-14,0.0,1.0,1914.0,1870.0,760.0,774.0,95.0,86.0
2016-11-15,2.0,2.0,2021.0,1978.0,821.0,789.0,74.0,76.0
2016-11-16,1.0,1.0,1837.0,1836.0,802.0,791.0,84.0,81.0
2016-11-17,2.0,2.0,1825.0,1823.0,830.0,816.0,93.0,89.0
2016-11-18,3.0,2.0,1990.0,1973.0,818.0,813.0,105.0,95.0
2016-11-19,1.0,1.0,398.0,396.0,300.0,328.0,80.0,69.0
2016-11-20,0.0,0.0,479.0,439.0,313.0,317.0,47.0,50.0
