Date,severity_1_actual,severity_1_forecast,severity_2_actual,severity_2_forecast,severity_3_actual,severity_3_forecast,severity_4_actual,severity_4_forecast
2016-01-14,0.0,-73.0397635195759,0.0,117.09183873593429,0.0,6.371682648343267,7.0,2.679766778717294
2016-02-08,0.0,125.62509192802992,42.0,-302.2824895347047,17.0,238.42582908953074,1.0,41.60209319376852
2016-02-09,0.0,-3.9474564210866916,33.0,-46.826711936363296,20.0,-128.2895131345142,6.0,-8.119471463120327
2016-02-10,0.0,-44.17750867851009,30.0,-24.599020221138574,13.0,-18.656730805967904,6.0,-2.8823233593170805
2016-02-11,0.0,27.6439645736409,66.0,1.2555360341372506,21.0,125.62648355010093,6.0,16.194961661693007
2016-02-12,0.0,7.559734444795719,6.0,-114.34806221806745,5.0,-59.65920600629664,7.0,5.270216629503562
2016-02-13,0.0,11.51283781635189,1.0,-453.93816120423395,9.0,51.5829538849966,4.0,13.735122777450298
2016-02-14,0.0,-42.2896096574095,0.0,-305.3603135591917,7.0,62.745995430358086,6.0,-6.855969748054832
2016-02-15,1.0,-20.467126952842534,31.0,379.08850269376,13.0,-253.75750304383502,17.0,-14.335714121771701
2016-02-16,0.0,-29.672384804902894,53.0,40.20361004884495,20.0,330.3201847742058,11.0,26.040515143576627
2016-02-17,0.0,14.93018582451204,33.0,-6.817775331879005,13.0,178.80456257155342,5.0,24.90974388052198
2016-02-18,0.0,-5.548010171056216,45.0,-17.542758244534753,25.0,29.446105825818506,3.0,11.908421950849878
2016-02-19,0.0,25.41409384204764,53.0,-152.99921114971875,10.0,134.76767111708045,9.0,15.35452996269643
2016-02-20,0.0,72.13405574345717,1.0,-336.6656096067036,0.0,53.90051207919652,3.0,18.05163577357763
2016-02-21,0.0,-31.5996635911996,2.0,-14.391742443941212,3.0,-31.386619571034316,2.0,-8.513852869647774
2016-02-22,0.0,0.08031446726250913,35.0,69.8091766022099,10.0,56.482809869750724,10.0,10.1712408816685
2016-02-23,0.0,51.91930226303917,28.0,-99.96223255474118,21.0,67.58436328886773,9.0,23.900875020757958
2016-02-24,1.0,16.98495118356522,50.0,-121.07049858779581,26.0,-64.20127255429506,9.0,2.564816835031854
2016-02-25,0.0,31.224516740517245,26.0,54.215880142021035,11.0,-76.04102297504781,14.0,6.499484766000119
2016-02-26,0.0,-25.88129573993342,17.0,67.6430053532307,6.0,97.32271160788429,4.0,14.410005433887985
2016-02-27,0.0,-144.5221426838076,1.0,-51.79391799328266,5.0,-48.38526812243708,0.0,-26.24637989105266
2016-02-28,0.0,-3.7648898941025237,4.0,-281.6262952774813,0.0,-31.80164445500199,3.0,-1.325349449633113
2016-02-29,0.0,45.29545119084981,26.0,-5.171632717132411,8.0,79.95621486047483,2.0,19.663957353130165
2016-03-01,0.0,-7.401696295625538,40.0,49.40657055734192,15.0,78.48058865812638,0.0,7.627834307811103
2016-03-02,0.0,43.0318953378237,22.0,1.795647832048985,12.0,60.0735148117699,6.0,21.909320700725104
2016-03-03,0.0,-17.215125685126665,38.0,42.470422914043695,20.0,-111.48192592605852,6.0,-6.005847587903078
2016-03-04,0.0,19.747039734315877,33.0,103.82021934511118,15.0,137.57700845514597,10.0,15.25587689565195
2016-03-05,0.0,-70.25329521721574,1.0,30.07642978816557,2.0,-16.212837699455292,4.0,-11.522376906051914
2016-03-06,0.0,3.0525932409722003,1.0,-82.2655381339057,0.0,20.96977208037957,3.0,5.401528583825665
2016-03-07,0.0,36.48942246288571,29.0,-135.12037656596794,8.0,15.243049230622887,4.0,12.374122537617934
2016-03-08,0.0,7.946452429442447,37.0,-128.70917029735568,10.0,11.6422964560779,4.0,4.714859520100648
2016-03-09,0.0,6.036062717761416,27.0,-57.76387005263945,9.0,109.03358776559703,6.0,7.235505086791619
2016-03-10,0.0,13.610400116776997,40.0,-155.42720845579572,20.0,-27.5201225051416,12.0,1.3884985827496354
2016-03-11,0.0,-32.57316277141283,45.0,115.27799852380303,10.0,43.36882246337004,6.0,3.6654032274418284
2016-03-12,0.0,-5.440649022771151,1.0,-107.40533813110324,6.0,31.775978382512307,3.0,2.2829969167027606
2016-03-13,0.0,-11.54235871413745,0.0,-72.40306220724892,4.0,18.791945415774705,5.0,2.0069612645627535
2016-03-14,0.0,-6.0619403686303,38.0,52.46354616076445,6.0,42.429552250487234,1.0,5.821658116983688
2016-03-15,0.0,62.27654807737949,28.0,-45.561932932583204,10.0,63.92994551253028,8.0,21.678378875191772
2016-03-16,0.0,-36.288735286411224,27.0,-64.64588558697892,10.0,-1.2326111426570776,7.0,-0.5102904467219442
2016-03-17,0.0,65.57789349540582,39.0,-129.7309847397563,7.0,112.33200804329165,7.0,28.841515553171057
2016-03-18,0.0,18.270237194819018,44.0,-78.00771681807493,5.0,-27.630702808511643,4.0,10.787974309016377
2016-03-19,0.0,10.127597683855402,5.0,-153.27849645371577,4.0,-149.70290814158474,2.0,-2.622399349849001
2016-03-20,0.0,27.30076465265026,1.0,-90.70775324196995,1.0,22.2865715790533,5.0,16.45425112381197
2016-03-21,0.0,17.92619765317109,31.0,79.69507242549679,14.0,53.80754585193401,4.0,14.982785294253723
2016-03-22,0.0,-104.73087648912949,51.0,6.86706048499758,26.0,-23.54759010961135,5.0,-16.92894771263013
2016-03-23,0.0,-7.850556221692807,440.0,237.13712765615105,246.0,115.04469369498972,18.0,8.733453934660275
2016-03-24,0.0,-25.033453240569422,492.0,360.9583704743136,284.0,203.61858265206445,47.0,12.499135692091778
2016-03-25,0.0,-31.909636506818085,320.0,264.3724307086701,167.0,144.12494906159904,17.0,9.664634270659725
2016-03-26,2.0,-2.461602249784608,88.0,42.0052361024882,140.0,154.25768759123795,21.0,14.208227412917934
2016-03-27,0.0,62.66097534166019,148.0,51.239769583816496,100.0,161.6458326354174,15.0,33.49330574585695
2016-03-28,0.0,-47.28590294389566,387.0,434.33937626285626,232.0,74.60731239914537,33.0,9.801980727041489
2016-03-29,0.0,5.798003108173983,487.0,364.1795394345945,211.0,134.5656151068881,25.0,25.377162575755168
